Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,num_academia,num_company
0,Impossibility in Belief Merging (Extended Abstract) *,University of the Andes,University of the Andes,,,,,,,,,,,,,,2.0,0.0
1,Towards Enabling Binary Decomposition for Partial Label Learning *,Southeast University,Southeast University,Southeast University,Southeast University," Collaborative Innovation Center for Wireless Communications Technology, Chin",,,,,,,,,,,2.0,0.0
2,Extracting Latent Beliefs and using Epistemic Reasoning to Tailor a Chatbot,"TCS Innovation Labs, Tata Consultancy Services Limited, Gurgaon, Indi","TCS Innovation Labs, Tata Consultancy Services Limited, Gurgaon, Indi","TCS Innovation Labs, Tata Consultancy Services Limited, Gurgaon, Indi","TCS Innovation Labs, Tata Consultancy Services Limited, Gurgaon, Indi",,,,,,,,,,,,4.0,0.0
3,Towards Generalized and Efficient Metric Learning on Riemannian Manifold,Tianjin University,Tianjin University,Tianjin University,Tianjin University,Tianjin University,,,,,,,,,,,5.0,0.0
4,Get The Point of My Utterance! Learning Towards Effective Responses with Multi-Head Attention Mechanism,Peking University,Peking University,Peking University,Microsoft (United States),Peking University,Beijing Institute of Big Data Research,Peking University,Beijing Institute of Big Data Research,,,,,,,,7.0,1.0
5,Interpretable Adversarial Perturbation in Input Embedding Space for Text,Preferred Networks (Japan), NTT Communication Science Laboratories,RIKEN Center for Advanced Intelligence Project,Nara Institute of Science and Technology,RIKEN Center for Advanced Intelligence Project,Nara Institute of Science and Technology,RIKEN Center for Advanced Intelligence Project,Nara Institute of Science and Technology,,,,,,,,6.0,1.0
6,Combining Opinion Pooling and Evidential Updating for Multi-Agent Consensus,Bristol Robotics Laboratory,University of Bristol,University of the West of England,University of Bristol,Bristol Robotics Laboratory,University of the West of England,,,,,,,,,,6.0,0.0
7,Neural Networks for Predicting Algorithm Runtime Distributions,University of Freiburg,University of Freiburg,University of Freiburg,,,,,,,,,,,,,3.0,0.0
8,Simultaneous Clustering and Ranking from Pairwise Comparisons,University of Yamanashi,Bank of Japan,University of Tsukuba,Bank of Japan,Kyoto University,Bank of Japan,,,,,,,,,,3.0,0.0
9,Unsupervised Learning based Jump-Diffusion Process for Object Tracking in Video Surveillance,San Diego State University," XreLab Inc., San Diego, C",San Diego State University,San Diego State University,,,,,,,,,,,,2.0,1.0
10,Evolving AI from Research to Real Life -Some Challenges and Suggestions, American Express Big Data Lab, American Express Big Data Lab, American Express Big Data Lab,,,,,,,,,,,,,0.0,2.0
11,A Normalized Convolutional Neural Network for Guided Sparse Depth Upsampling,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,2.0,0.0
12,INITIATOR: Noise-contrastive Estimation for Marked Temporal Point Process,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,,,,,3.0,0.0
13,Formal Analysis of Deep Binarized Neural Networks,"VMware Research, US",,,,,,,,,,,,,,,1.0,0.0
